filename,multiple_deltas,num_clusters,multiple_clusters,multiple_fingerprints_detected
90120130740101.bmp,False,1,False,False
90120130740102.bmp,False,1,False,False
90120130740103.bmp,False,2,True,True
90120130740104.bmp,False,2,True,True
90120130740105.bmp,False,1,False,False
90120130740106.bmp,False,0,False,False
90120130740107.bmp,False,1,False,False
90120130740108.bmp,False,4,True,True
90120130740109.bmp,False,4,True,True
90120130740110.bmp,False,2,True,True
90120132577901.bmp,False,1,False,False
90120132577902.bmp,False,1,False,False
90120132577903.bmp,False,1,False,False
90120132577904.bmp,False,3,True,True
90120132577905.bmp,False,1,False,False
90120132577906.bmp,False,0,False,False
90120132577907.bmp,False,1,False,False
90120132577908.bmp,False,1,False,False
90120132577909.bmp,False,2,True,True
90120132577910.bmp,False,2,True,True
90120142344401.bmp,False,5,True,True
90120142344402.bmp,False,2,True,True
90120142344403.bmp,False,1,False,False
90120142344404.bmp,False,2,True,True
90120142344405.bmp,False,1,False,False
90120142344406.bmp,False,3,True,True
90120142344407.bmp,False,1,False,False
90120142344408.bmp,False,2,True,True
90120142344409.bmp,False,2,True,True
90120142344410.bmp,False,2,True,True
90120143573601.bmp,False,2,True,True
90120143573602.bmp,False,1,False,False
90120143573603.bmp,False,1,False,False
90120143573604.bmp,False,1,False,False
90120143573605.bmp,False,1,False,False
90120143573606.bmp,False,2,True,True
90120143573607.bmp,False,2,True,True
90120143573608.bmp,False,1,False,False
90120143573609.bmp,False,3,True,True
90120143573610.bmp,False,2,True,True
90120146617801.bmp,False,2,True,True
90120146617802.bmp,False,1,False,False
90120146617803.bmp,False,3,True,True
90120146617804.bmp,False,3,True,True
90120146617805.bmp,False,2,True,True
90120146617806.bmp,False,2,True,True
90120146617807.bmp,False,1,False,False
90120146617808.bmp,False,1,False,False
90120146617809.bmp,False,1,False,False
90120146617810.bmp,False,1,False,False
90120375593201.bmp,False,2,True,True
90120375593202.bmp,False,4,True,True
90120375593203.bmp,False,3,True,True
90120375593204.bmp,False,3,True,True
90120375593205.bmp,False,4,True,True
90120375593206.bmp,False,0,False,False
90120375593207.bmp,False,2,True,True
90120375593208.bmp,False,2,True,True
90120375593209.bmp,False,5,True,True
90120375593210.bmp,False,2,True,True
90121313740901.bmp,False,1,False,False
90121313740902.bmp,False,3,True,True
90121313740903.bmp,False,1,False,False
90121313740904.bmp,False,1,False,False
90121313740905.bmp,False,2,True,True
90121313740906.bmp,False,0,False,False
90121313740907.bmp,False,4,True,True
90121313740908.bmp,False,1,False,False
90121313740909.bmp,False,4,True,True
90121313740910.bmp,False,2,True,True
90122839829701.bmp,False,3,True,True
90122839829702.bmp,False,2,True,True
90122839829703.bmp,False,2,True,True
90122839829704.bmp,False,2,True,True
90122839829705.bmp,False,1,False,False
90122839829706.bmp,False,5,True,True
90122839829707.bmp,False,4,True,True
90122839829708.bmp,False,3,True,True
90122839829709.bmp,False,3,True,True
90122839829710.bmp,False,2,True,True
